ï»¿"id_malha";"UF";"Contrato";"Ano";"Mes";"Panela";"Remendo";"Trincamento";"Rocada";"Drenagem";"Sinalizacao_Vertical";"Sinalizacao_Horizontal";"Rodovia";"km";"Sentido";"Km_Inicial";"Km_Final";"Num_Faixas";"SuperfÃ­cie";"Data Aval.";"IP";"IC";"ICM";"ICM_Unificado"
"17475";"RR";"""26 00650/2025""";"2026";"3";"Alta";"ND";"Baixa";"Ruim";"ND";"Bom";"Bom";"BR-210";"89";"D";"90";"89";"1";"Pavimentada";"2026-03-18";"55";"42.5";"51,25";"51.25"
"17475";"RR";"""26 00650/2025""";"2026";"3";"Alta";"ND";"Baixa";"Ruim";"ND";"Bom";"Bom";"BR-210";"89";"C";"89";"90";"1";"Pavimentada";"2026-03-18";"55";"42.5";"51,25";"51.25"
"17475";"RR";"""26 00650/2025""";"2026";"3";"Alta";"Baixa";"Baixa";"Ruim";"ND";"Bom";"Bom";"BR-210";"90";"C";"90";"91";"1";"Pavimentada";"2026-03-18";"62.5";"42.5";"56,5";"56.5"
"17475";"RR";"""26 00650/2025""";"2026";"3";"Baixa";"ND";"Baixa";"Ruim";"ND";"Bom";"Bom";"BR-210";"90";"D";"91";"90";"1";"Pavimentada";"2026-03-18";"17.5";"42.5";"25";"56.5"
"17475";"RR";"""26 00650/2025""";"2026";"3";"Alta";"ND";"Baixa";"Ruim";"ND";"Bom";"Bom";"BR-210";"91";"D";"92";"91";"1";"Pavimentada";"2026-03-18";"55";"42.5";"51,25";"51.25"
"17475";"RR";"""26 00650/2025""";"2026";"3";"Alta";"ND";"Baixa";"Ruim";"ND";"Bom";"Bom";"BR-210";"91";"C";"91";"92";"1";"Pavimentada";"2026-03-18";"55";"42.5";"51,25";"51.25"
"17475";"RR";"""26 00650/2025""";"2026";"3";"Alta";"Alta";"Baixa";"Bom";"ND";"Bom";"Bom";"BR-210";"92";"C";"92";"93";"1";"Pavimentada";"2026-03-18";"85";"20";"65,5";"65.5"
"17475";"RR";"""26 00650/2025""";"2026";"3";"Alta";"MÃ©dia";"Baixa";"Bom";"Bom";"Bom";"Bom";"BR-210";"92";"D";"93";"92";"1";"Pavimentada";"2026-03-18";"70";"25";"56,5";"65.5"
"17475";"RR";"""26 00650/2025""";"2026";"3";"Alta";"Baixa";"Baixa";"Bom";"Regular";"Ruim";"Ruim";"BR-210";"93";"D";"94";"93";"1";"Pavimentada";"2026-03-18";"62.5";"67.5";"64";"64"
"17475";"RR";"""26 00650/2025""";"2026";"3";"Alta";"MÃ©dia";"Baixa";"Bom";"Bom";"Bom";"Bom";"BR-210";"93";"C";"93";"94";"1";"Pavimentada";"2026-03-18";"70";"25";"56,5";"64"
"17475";"RR";"""26 00650/2025""";"2026";"3";"ND";"Alta";"Baixa";"Bom";"ND";"Ruim";"Ruim";"BR-210";"94";"C";"94";"95";"1";"Pavimentada";"2026-03-18";"35";"57.5";"41,75";"41.75"
"17475";"RR";"""26 00650/2025""";"2026";"3";"ND";"Alta";"ND";"Bom";"ND";"Ruim";"Ruim";"BR-210";"94";"D";"95";"94";"1";"Pavimentada";"2026-03-18";"30";"57.5";"38,25";"41.75"
"17475";"RR";"""26 00650/2025""";"2026";"3";"ND";"Alta";"Baixa";"Bom";"ND";"Ruim";"Ruim";"BR-210";"95";"D";"96";"95";"1";"Pavimentada";"2026-03-18";"35";"57.5";"41,75";"41.75"
"17475";"RR";"""26 00650/2025""";"2026";"3";"ND";"Alta";"Baixa";"Bom";"ND";"Bom";"Bom";"BR-210";"95";"C";"95";"96";"1";"Pavimentada";"2026-03-18";"35";"20";"30,5";"41.75"